Freda Ellis,"makeup supervisor (6 episodes, 2022)",
Olimpia Stoicea,"hair & makeup artist: main team (6 episodes, 2022)",
Susan Cole,"personal hair stylist: Luis Guzman (4 episodes, 2022)",
Tia Costell,"junior hair & makeup artist (4 episodes, 2022)",
Jean Carlos de Blas,"key hair & makeup artist (4 episodes, 2022)",
Sheherezada Kouchaki,"makeup artist (4 episodes, 2022)",
Raluca Moldoveanu,"makeup artist (4 episodes, 2022)",
Nicoleta Toader,"hair stylist: cast (4 episodes, 2022)",
Gabriella Havens,"makeup artist (3 episodes, 2022)",
Andrea Dardea Tesdall,"special makeup effects artist (3 episodes, 2022)",
Natalie Fox,"additional hair & makeup artist (2 episodes, 2022)",
Niki De Jong,"prosthetic makeup artist (1 episode, 2022)",
Ionel Popa,"special makeup effects artist (1 episode, 2022)",
Athina Sapanidis,"prosthethic makeup artist (1 episode, 2022)",
Elena Tudor,"hair stylist (1 episode, 2022)",
Tristan Versluis,"prosthetic designer (1 episode, 2022)",
Razvan Badea,unit production manager / production manager,
Irene Iovan Calangiu,health & safety unit production manager: covid,
Alexandru Cseh,production manager: second unit,
Emma Mallett,unit production manager: additional photography,
Alexandru Acsinte,"assistant director (8 episodes, 2022)",
Emilie Balusson,"second second assistant director / co-second assistant director / third assistant director (8 episodes, 2022)",
Bianca Bumbacea,"assistant director (8 episodes, 2022)",
Simona Dinu,"second assistant director (8 episodes, 2022)",
Mariana Grama,"crowd second assistant director (8 episodes, 2022)",
Mircea Hategan,"first assistant director (8 episodes, 2022)",
Stefania Ispas,"trainee assistant director (8 episodes, 2022)",
Loyzo,"third assistant director (8 episodes, 2022)",
Raphael Tudor,"third assistant director (8 episodes, 2022)",
Costin Sforaru,"assistant director (7 episodes, 2022)",
Sabina Balan,"crowd first assistant director (6 episodes, 2022)",
Brett Chan,"second unit director (6 episodes, 2022)",
Ada Dumitru,"cast assistant (6 episodes, 2022)",
Emyr Glyn Rees,"second assistant director / first assistant director (6 episodes, 2022)",
Jessica Kirec,"second assistant director (4 episodes, 2022)",
George Walker,"first assistant director (4 episodes, 2022)",
Mihaela Ionita,"second assistant director (2 episodes, 2022)",
Richard O'Brien-Moran,"first assistant director (2 episodes, 2022)",
Alexandru Trandafira,"crowd assistant director (2 episodes, 2022)",
Alexandra Popa,"crowd second assistant director (1 episode, 2022)",
Sucioaia Alexandra,"set dressing painter (8 episodes, 2022)",
Tache Alexandru,"graphic designer (8 episodes, 2022)",
Corneliu Mihai Bonciu,"sculptor (8 episodes, 2022)",
Rachel Garlick,"storyboard artist (8 episodes, 2022)",
Florin Gavrila,"lead set dressing painter (8 episodes, 2022)",
Adi Handac,"property master (8 episodes, 2022)",
Dana Ilie,"art department manager (8 episodes, 2022)",
Alexandru Titus Ipate,"action vehicles supervisor (8 episodes, 2022)",
Simona Maican,"art department coordinator (8 episodes, 2022)",
Cristian Mihaila,"assistant set decorator / set decoration buyer (8 episodes, 2022)",
Cosmin Miroiu,"head of greenery (8 episodes, 2022)",
Amalia Mititelu,"set dressing painter (8 episodes, 2022)",
Pietro Nume,"concept artist (8 episodes, 2022)",
Iulia Petrescu,"assistant set decorator (8 episodes, 2022)",
Madalina Ripanu,"clearance coordinator (8 episodes, 2022)",
Geaniloni Sandru,"lead painter (8 episodes, 2022)",
Eusebiu Sirbu,"head graphic designer (8 episodes, 2022)",
Cristina Stefan,"graphic designer (8 episodes, 2022)",
Alexandra Tudor,"assistant art director (8 episodes, 2022)",
Laurentiu Zarnoianu,"leadman (8 episodes, 2022)",
Liviu Antonescu,"graphic designer (6 episodes, 2022)",
Madalina Ciosu,"set designer (6 episodes, 2022)",
Tudor Iordachescu,"set designer (6 episodes, 2022)",
Anca Iscru,"set designer (6 episodes, 2022)",
Ana Neag,"assistant art director (6 episodes, 2022)",
Iulia Pasarica,"assistant art director (6 episodes, 2022)",
Andreea Siminea,"set designer (6 episodes, 2022)",
Amy Lockwood,"assistant set decorator (4 episodes, 2022)",
Andrew Cherry,"storyboard artist (3 episodes, 2022)",
Cristian Darstar,"storyboard artist (3 episodes, 2022)",
Adrian Curelea,"supervising art director (2 episodes, 2022)",
Serban Porupca,"senior art director (2 episodes, 2022)",
Radu Costache,"assistant property master (1 episode, 2022)",
Jennifer Keen,"first set decoration buyer (1 episode, 2022)",
Karen Krizanovich,"production design researcher (1 episode, 2022)",
Ben Livingstone,"illustrator (1 episode, 2022)",
Yohann Angelvy,"french casting mixer (8 episodes, 2022)",
Michael Baskerville,"re-recording mixer (8 episodes, 2022)",
Nicolae Comarzan,"sound mixer: second unit (8 episodes, 2022)",
Tony Diaz,"adr mixer (8 episodes, 2022)",
Arturo A. Fuenmayor,"re-recording mix assistant / additional re-recording mixer (8 episodes, 2022)",
Alastair Gray,"dialogue editor (8 episodes, 2022)",
Justin Helle,"foley mixer (8 episodes, 2022)",
John Loranger,"supervising sound editor (8 episodes, 2022)",
Liviu Lupsa,"sound mixer (8 episodes, 2022)",
Kristi McIntyre,"adr editor / sound effects editor (8 episodes, 2022)",
Sean Miller,"adr recordist (8 episodes, 2022)",
Faustine Pelipel,"assistant sound editor (8 episodes, 2022)",
Dan Sexton,"sound effects editor (8 episodes, 2022)",
Alex Stylianou,"adr recordist (8 episodes, 2022)",
Jamie Sulek,"re-recording mixer (8 episodes, 2022)",
Mike Tehrani,"adr mixer (8 episodes, 2022)",
Marcus Byrne,"adr mixer (7 episodes, 2022)",
Greg Crawford,"adr mixer (7 episodes, 2022)",
Juan Martin Del Campo,"adr mixer (7 episodes, 2022)",
Tim McKeever,"adr mixer (7 episodes, 2022)",
Simon Diggins,"adr mixer (6 episodes, 2022)",
Jonathan Gomez,"adr mixer (4 episodes, 2022)",
Leslie Liu,"adr mixer (2 episodes, 2022)",
Mihnea Bogos,"boom operator (1 episode, 2022)",
Nathan Jackson,"foley editor (1 episode, 2022)",
William Kellerman,"foley artist (1 episode, 2022)",
Gabriel Marin,"boom operator (1 episode, 2022)",
Ana Quiroga,"audio coordinator (uncredited) (8 episodes, 2022)",
Dan Barcutean,"special effects technician (8 episodes, 2022)",
Florin Stoian,"special effects technician (8 episodes, 2022)",
Harry Troughton,"special effects coordinator (8 episodes, 2022)",
Jason Troughton,"special effects supervisor (8 episodes, 2022)",
Max Costello,"special effects technician (7 episodes, 2022)",
Adrian Nica,"lead technician (4 episodes, 2022)",
Yovko Dogandjiiski,"special effects supervisor (2 episodes, 2022)",
Antonia Tocheva,"special effects office coordinator (2 episodes, 2022)",
Ilinca Angelescu,"special effects makeup (1 episode, 2022)",
Matthew Adams,"digital compositor: Ghost VFX Toronto (8 episodes, 2022)",
Oana Bardan,"visual effects coordinator (8 episodes, 2022)",
Craig Calvert,"visual effects supervisor: Mr. X (8 episodes, 2022)",
Kevin Chandoo,"head of studio: Ghost VFX Toronto (8 episodes, 2022)",
Nick Colangelo,"visual effects producer: Mr. X (8 episodes, 2022)",
John Coldrick,"visual effects supervisor: Rocket Science VFX (8 episodes, 2022)",
Sam Cole,"lighting lead: Mr. X (8 episodes, 2022)",
Chris Cooper,"cg supervisor: Mr. X (8 episodes, 2022)",
Roger Dalupang,"lead render wrangler/pipeline td (8 episodes, 2022)",
Swedyl DSouza,"visual effects production manager (8 episodes, 2022)",
Maxime Ducharme,"visual effects artist: MELS (2 episodes, 2022)",
Paula Fanaia,"digital compositor: Ghost VFX Toronto (8 episodes, 2022)",
Mariah Fleetham,"visual effects production assistant: Take 5 VFX (8 episodes, 2022)",
Kathryn Foster,"visual effects editor: Ghost VFX Toronto (8 episodes, 2022)",
Ben Funk,"lead compositor: Take 5 VFX (8 episodes, 2022)",
Keith Goh,"visual effects assistant editor: MPC (8 episodes, 2022)",
Kari-Lyn Gravel,"visual effects associate line producer: Stereo D (8 episodes, 2022)",
Jon Howard,"visual effects producer: Ghost VFX Toronto (6 episodes, 2022)",
Kent Johnson,"visual effects producer (8 episodes, 2022)",
Anna Joukova,"compositor: Take 5 VFX / visual effects compositor: Take 5 VFX (8 episodes, 2022)",
Jesse Kawzenuk,"on-set visual effects supervisor (8 episodes, 2022)",
Grant Lee,"visual effects supervisor: Stereo D (8 episodes, 2022)",
Jake Lunt Davies,"concept design (8 episodes, 2022)",
Dumitrana Teodora Lupu,"visual effects production assistant (8 episodes, 2022)",
Amy Madigan,"visual effects production manager: Stereo D (8 episodes, 2022)",
Yael Majors,"visual effects assistant supervisor: Stereo D (3 episodes, 2022)",
Mariano Mendoza,"assets lead: Mr. X (8 episodes, 2022)",
Guillermo Molina,"lead tools developer (8 episodes, 2022)",
Skye Morandin,"visual effects production manager: Stereo D (8 episodes, 2022)",
Tom Nagy,"animation supervisor: Mr. X (8 episodes, 2022)",
Ken Nielsen,"compositing supervisor: Ghost VFX Toronto (8 episodes, 2022)",
Razvan Nineaca,"data wrangler (8 episodes, 2022)",
Anthony O'Connell,"Render Wrangler (8 episodes, 2022)",
Catalin Otelea,"data wrangler (8 episodes, 2022)",
Matei Ovejan,"data wrangler (8 episodes, 2022)",
Alessandro Pantanella,"visual effects supervisor: Ghost VFX Toronto (8 episodes, 2022)",
Travis Pond,"compositor: Take 5 VFX (8 episodes, 2022)",
Yawar Raja,"layout lead: Mr. X (8 episodes, 2022)",
Aravindan Rajasingham,"Head of Build Department (8 episodes, 2022)",
Aditya Sawant,"visual effects coordinator: Ghost VFX Toronto (8 episodes, 2022)",
Matt Schofield,"vfx head of operations (8 episodes, 2022)",
Ksenia Shutova,"compositor: Take 5 VFX (8 episodes, 2022)",
Mark Simone,"visual effects producer: Stereo D (8 episodes, 2022)",
Denis St-Pierre,"compositor: Take 5 VFX (8 episodes, 2022)",
Ryan Terk,"Senior Visual Effects Coordinator / visual effects coordinator: MELS (8 episodes, 2022)",
Jason Teske,"rigging lead: Mr. X (8 episodes, 2022)",
Tom Turnbull,"visual effects supervisor (8 episodes, 2022)",
Fabián Varela,"visual effects producer: Ghost VFX Toronto (8 episodes, 2022)",
Kelly Weisz,"visual effects studio manager: Take 5 VFX (8 episodes, 2022)",
Angela Zhang,"visual effects production manager: Mr. X (8 episodes, 2022)",
Kayden Anderson,"visual effects producer: Rocket Science VFX (7 episodes, 2022)",
Eddie Englander,"visual effects supervisor: Monsters Aliens Robots Zombies (2 episodes, 2022)",
Timothy Mah,"visual effects editor: Rocket Science VFX (7 episodes, 2022)",
Michael Osuszek,"visual effects coordinator: Rocket Science VFX (7 episodes, 2022)",
Rodrigo Paiva,"compositing lead: Monsters Aliens Robots Zombies (1 episode, 2022)",
Suresh Pandi,"lead compositor: Rocket Science VFX / compositor: Rocket Science VFX (7 episodes, 2022)",
Francois Robert,"matchmove/layout artist: MELS (3 episodes, 2022)",
Adam Smith,"lead compositor: Rocket Science VFX (7 episodes, 2022)",
Sarvesh Amre,"visual effects production manager: NetFX Mumbai (6 episodes, 2022)",
Benoît Brière,"visual effects supervisor: MELS (6 episodes, 2022)",
Paul Chambers,"assets supervisor: Monsters Aliens Robots Zombies (1 episode, 2022)",
Dipak Gaur,"digital compositor: Ghost VFX Toronto (6 episodes, 2022)",
Rashid Khallouk,"compositing lead: Mr. X (6 episodes, 2022)",
Baz Lanaris,"cg supervisor: MELS (6 episodes, 2022)",
Erin Nicholson,"cg supervisor: Ghost VFX Toronto (6 episodes, 2022)",
Lynx Zuo,"digital compositor: Ghost VFX Toronto (6 episodes, 2022)",
Taraknath Ghosh,"paint artist: Stereo D (5 episodes, 2022)",
Tanya Haddad,"visual effects producer: Folks VFX (5 episodes, 2022)",
Brodie McNeill,"visual effects supervisor: Folks VFX (5 episodes, 2022)",
Prateek Mishra,"paint artist: Stereo D (5 episodes, 2022)",
Manish Rohith,"compositing artist: Monsters Aliens Robots Zombies (1 episode, 2022)",
Luca Gabriele Rossetti,"digital matte painter/environment supervisor: Monsters Aliens Robots Zombies (1 episode, 2022)",
Bikram Singh,"paint artist: Stereo D (5 episodes, 2022)",
Khushroo Surveyor,"visual effects lighter: Rocket Science VFX (5 episodes, 2022)",
Salil Thapa,"visual effects line producer: NetFX Mumbai (5 episodes, 2022)",
Wesley While,"compositor: Take 5 VFX (5 episodes, 2022)",
Kaylie Whitcher,"visual effects producer: Folks VFX (5 episodes, 2022)",
Sarah Wormsbecher,"visual effects executive producer: Folks VFX (5 episodes, 2022)",
Ramesh Kumar Yanagandhula,"paint artist: Stereo D (5 episodes, 2022)",
Summer Zong,"cg supervisor: Folks VFX (5 episodes, 2022)",
David Dionne,"visual effects artist: MELS (2 episodes, 2022)",
Patti Gannon,"compositor: Take 5 VFX (4 episodes, 2022)",
James Takashi Higuchi,"lighting supervisor: Monsters Aliens Robots Zombies (1 episode, 2022)",
JoAnna Johnson,"compositor: Rocket Science VFX (4 episodes, 2022)",
Luca Lim Diniz,"visual effects artist: MELS (4 episodes, 2022)",
Dinaaz Mathur,"visual effects production coordinator: NetFX Mumbai (4 episodes, 2022)",
Ben McDougal,"surfacing lead: Monsters Aliens Robots Zombies (4 episodes, 2022)",
Sumit Mukherjee,"paint supervisor: NetFX Mumbai (4 episodes, 2022)",
Isha Nigam,"head of production: NetFX Mumbai (4 episodes, 2022)",
Tabata Ortiz,"visual effects artist: MELS (4 episodes, 2022)",
Nishant Patel,"visual effects lighter: Rocket Science VFX (1 episode, 2022)",
Umapathy Rajarathinam,"compositor: Rocket Science VFX (4 episodes, 2022)",
Genesis Rivas,"compositor: Take 5 VFX (4 episodes, 2022)",
Gustavo Sanchez-Perez,"fx supervisor: Monsters Aliens Robots Zombies (1 episode, 2022)",
Kyle Sim,"head of 2d: Folks VFX (4 episodes, 2022)",
François Trudel,"visual effects artist: MELS / visual effects supervisor: MELS (4 episodes, 2022)",
Pankaj Umbarkar,"junior paint lead: NetFX Mumbai (4 episodes, 2022)",
Oksana Andrulis,"visual effects production manager: Folks VFX / animation coordinator: Folks VFX (3 episodes, 2022)",
Ajay Kumar Attinti,"roto lead: NetFX Mumbai (3 episodes, 2022)",
Amod Diwakar,"assistant visual effects line producer: Stereo D / visual effects assistant line producer: Stereo D (3 episodes, 2022)",
Josh George,"fx lead: Folks VFX (3 episodes, 2022)",
Jonathan Grégoire,"visual effects artist: MELS (3 episodes, 2022)",
Cory Humes,"animation supervisor: Folks VFX (3 episodes, 2022)",
Christopher Jude,"compositor: Rocket Science VFX (3 episodes, 2022)",
José Lasa,"compositor: Rocket Science VFX / visual effects lighter: Rocket Science VFX (3 episodes, 2022)",
Marco Lee,"compositing supervisor: Folks VFX (3 episodes, 2022)",
Oleg Memukhin,"fx supervisor: Folks VFX (3 episodes, 2022)",
Waseem Mohammed,"head of central production: Monsters Aliens Robots Zombies (2 episodes, 2022)",
Ryan Jae Wook Park,"layout supervisor: Folks VFX (3 episodes, 2022)",
Nisarg Suthar,"lighting supervisor: Folks VFX (3 episodes, 2022)",
Nitesh Sutrave,"compositing supervisor: NetFX Mumbai (3 episodes, 2022)",
Sahil Agrahari,"junior paint artist: NetFX Mumbai (2 episodes, 2022)",
Chris Archinet,"visual effects artist: MELS (2 episodes, 2022)",
Edwin Arismendez,"visual effects artist: MELS (2 episodes, 2022)",
Jessica Bayliss,"head of production: Monsters Aliens Robots Zombies (2 episodes, 2022)",
Samuel Boisvert,"visual effects artist: MELS (2 episodes, 2022)",
Jordan Boulais,"visual effects artist: MELS (2 episodes, 2022)",
Reine Bourgault,"visual effects artist: MELS (2 episodes, 2022)",
J. Alan Bradshaw,"head of cg: Monsters Aliens Robots Zombies (2 episodes, 2022)",
Alex Bronfman,"sales lead: Monsters Aliens Robots Zombies (2 episodes, 2022)",
Jonathan Bronfman,"head of studio: Monsters Aliens Robots Zombies (2 episodes, 2022)",
Aakash Chaudhari,"roto artist: NetFX Mumbai (2 episodes, 2022)",
Dave David,"animation artist: Monsters Aliens Robots Zombies (1 episode, 2022)",
Nadine Frève,"lead visual effects editor: Folks VFX / visual effects editor: Folks VFX (2 episodes, 2022)",
Mark Goldberg,"compositor (2 episodes, 2022)",
Yash Gowda,"head of 2d: Monsters Aliens Robots Zombies (2 episodes, 2022)",
Leonardo Andres Grabau Villalba,"visual effects artist: MELS (2 episodes, 2022)",
Jeanne Hebert,"visual effects artist: MELS (2 episodes, 2022)",
Pravin Hodage,"2d supervisor: NetFX Mumbai (2 episodes, 2022)",
Curtis Hsiung,"animator: Rocket Science VFX (2 episodes, 2022)",
Siddarth Jambhulkar,"compositor: Rocket Science VFX (2 episodes, 2022)",
Juyong Jeon,"visual effects artist (2 episodes, 2022)",
Mukesh Joshi,"senior i/o coordinator: NetFX Mumbai (2 episodes, 2022)",
Min Kim,"compositing supervisor: Folks VFX (2 episodes, 2022)",
Simon Lecavalier,"cg supervisor: MELS (2 episodes, 2022)",
Christophe Longtin,"visual effects artist: MELS (2 episodes, 2022)",
Jim Maxwell,"matte painter: Take 5 VFX (2 episodes, 2022)",
Kristine Middlemiss,"head of technology: Monsters Aliens Robots Zombies (2 episodes, 2022)",
Ali Mio,"visual effects producer: Rocket Science VFX (2 episodes, 2022)",
Lon Molnar,"head of studio: Monsters Aliens Robots Zombies (2 episodes, 2022)",
Jose Ignacio Narváez Monroy,"compositing lead: Mr. X (2 episodes, 2022)",
Daksh Pandya,"visual effects artist (2 episodes, 2022)",
Dany Richard,"visual effects artist: MELS (2 episodes, 2022)",
Casey Sincic,"visual effects producer: Monsters Aliens Robots Zombies (2 episodes, 2022)",
Sarvesh Talekar,"roto artist: NetFX Mumbai (2 episodes, 2022)",
Himani Tyagi,"junior paint artist: NetFX Mumbai (2 episodes, 2022)",
Susana Vasquez,"visual effects production coordinator: Take 5 VFX (2 episodes, 2022)",
Alphonso Young,"matte painter: Take 5 VFX (2 episodes, 2022)",
Nao Adachi,"compositor (1 episode, 2022)",
Waseem Ahmad Khan,"paint artist: Stereo D (1 episode, 2022)",
Rodrigo Albano,"environment artist: Monsters Aliens Robots Zombies (1 episode, 2022)",
Don Carlo Alvir,"animation artist: Monsters Aliens Robots Zombies (1 episode, 2022)",
Leanndro Amorim,"compositing artist: Monsters Aliens Robots Zombies (1 episode, 2022)",
Seshadri Anand,"tracking/layout lead: Monsters Aliens Robots Zombies (1 episode, 2022)",
Blake Anderson,"visual effects supervisor: VFX Legion (1 episode, 2022)",
Schuyler Anderson,"tracking/layout lead: Monsters Aliens Robots Zombies (1 episode, 2022)",
Sudhakar Bhavanasi,"deputy manager: Stereo D (1 episode, 2022)",
Alan Bisht,"compositing artist: NetFX Mumbai (1 episode, 2022)",
William Blanchette,"visual effects artist: MELS (1 episode, 2022)",
Peter Braeley,"digital matte painter: Folks VFX (1 episode, 2022)",
Charlotte Breton,"visual effects editor: Folks VFX (1 episode, 2022)",
Dennis Chan,"animation artist: Monsters Aliens Robots Zombies (1 episode, 2022)",
Hardik Chauhan,"senior compositing artist: NetFX Mumbai (1 episode, 2022)",
Molly Chen,"assets artist: Monsters Aliens Robots Zombies (1 episode, 2022)",
Sujesh V. Chitty,"concept artist: Folks VFX (1 episode, 2022)",
Nolan Conrad,"digital compositor: VFX Legion (1 episode, 2022)",
Andrés Couturier,"graphic artist: VFX Legion (1 episode, 2022)",
Madhu Dasyapu,"assistant roto supervisor: Stereo D (1 episode, 2022)",
Rodrigo de Angelis,"fx artist: Monsters Aliens Robots Zombies (1 episode, 2022)",
Sofia Diaz,"lighting artist: Monsters Aliens Robots Zombies (1 episode, 2022)",
Maya Dumont-Deslandes,"visual effects studio manager: MELS (1 episode, 2022)",
Abdullah Ecirli,"compositing artist: Monsters Aliens Robots Zombies (1 episode, 2022)",
Manoj Kumar Elangovan,"tracking & layout artist: Monsters Aliens Robots Zombies (1 episode, 2022)",
Michael Enzbrunner,"animation lead: Monsters Aliens Robots Zombies (1 episode, 2022)",
Timothy Fleur,"creature artist: Monsters Aliens Robots Zombies (1 episode, 2022)",
Clémentine Flicker,"matte-painter (1 episode, 2022)",
Adam Fok,"rigging lead: Monsters Aliens Robots Zombies (1 episode, 2022)",
Gil Franco,"assets artist: Monsters Aliens Robots Zombies (1 episode, 2022)",
Emily Funk,"assets artist: Monsters Aliens Robots Zombies (1 episode, 2022)",
Antonio Gallardo,"visual effects producer: VFX Legion (1 episode, 2022)",
Gregory Galliani,"modeling lead: Monsters Aliens Robots Zombies (1 episode, 2022)",
Igor Garanovschii,"matte painter: Rocket Science VFX (1 episode, 2022)",
Kunal Ghai,"paint artist: Stereo D (1 episode, 2022)",
Rakan Ghresi,"fx artist: Monsters Aliens Robots Zombies (1 episode, 2022)",
Jimmy Gill,"animation artist: Monsters Aliens Robots Zombies (1 episode, 2022)",
Jameer Haider,"paint artist: NetFX Mumbai (1 episode, 2022)",
Lewis Hawkes,"rigging lead: Monsters Aliens Robots Zombies (1 episode, 2022)",
Jim Hillin,"visual effects lighter, Ghost VFX, Toronto (1 episode, 2022)",
Chen Kuang Hsu,"tracking & layout artist: Monsters Aliens Robots Zombies (1 episode, 2022)",
Salvatore Iamonte,"rigging artist: Monsters Aliens Robots Zombies (1 episode, 2022)",
Pragati Jana,"paint artist: Stereo D (1 episode, 2022)",
Kenny Jia,"digital matte painter lead: Monsters Aliens Robots Zombies (1 episode, 2022)",
Laszlo Kalbache,"asset artist: Rocket Science VFX (1 episode, 2022)",
Ashraf Karim,"senior compositing artist: NetFX Mumbai (1 episode, 2022)",
Sharad Kate,"paint artist: Stereo D (1 episode, 2022)",
Jamie Knoop,"visual effects production assistant: Stereo D (1 episode, 2022)",
Ashwini Lad,"visual effects administrator: Stereo D (1 episode, 2022)",
Nadege Lagueux-Beloin,"visual effects artist: MELS (1 episode, 2022)",
Tukaram Landbale,"roto artist: NetFX Mumbai (1 episode, 2022)",
Dany Lebrasseur,"visual effects artist: MELS (1 episode, 2022)",
Kate T.C. Lin,"digital compositor: VFX Legion (1 episode, 2022)",
Matthias Lowry,"digital compositor: VFX Legion (1 episode, 2022)",
Jimmy Lue,"visual effects coordinator: Folks VFX (1 episode, 2022)",
Franklin Mascarenhas,"head of production: Stereo D (1 episode, 2022)",
Jay Mehta,"paint artist: NetFX Mumbai (1 episode, 2022)",
Guto Miranda,"compositing artist: Monsters Aliens Robots Zombies (1 episode, 2022)",
Vashishta Mohit,"compositing artist: NetFX Mumbai (1 episode, 2022)",
Atyeb Muneer,"compositing artist: Monsters Aliens Robots Zombies (1 episode, 2022)",
Ganesh Ramdas Nalle,"senior roto artist: NetFX Mumbai (1 episode, 2022)",
Michael Naphan,"layout artist: Rocket Science VFX (1 episode, 2022)",
Marla Oriol,"lighting artist: Monsters Aliens Robots Zombies (1 episode, 2022)",
R. Parthasarathy,"visual effects head of production: Stereo D (1 episode, 2022)",
Niki Patterson,"data technician: Stereo D (1 episode, 2022)",
Aravind Pauldurai,"compositing artist: Monsters Aliens Robots Zombies (1 episode, 2022)",
Victor Perez,"animation artist: Monsters Aliens Robots Zombies (1 episode, 2022)",
Navin Pinto,"rigging artist: Monsters Aliens Robots Zombies (1 episode, 2022)",
Norman Ran,"fx lead: Rocket Science VFX (1 episode, 2022)",
Parastu Rezaie,"lighting lead: Monsters Aliens Robots Zombies (1 episode, 2022)",
Jean-Christophe Rodier,"rigging artist: Monsters Aliens Robots Zombies (1 episode, 2022)",
Dmitry Ryabchuk,"environment lead: Monsters Aliens Robots Zombies (1 episode, 2022)",
Maryam Salehi,"i/o: MELS (1 episode, 2022)",
Rajvinder Sandhu,"lighting artist: Monsters Aliens Robots Zombies (1 episode, 2022)",
Eric Sanford,"creature lead: Monsters Aliens Robots Zombies (1 episode, 2022)",
Rohan Sapkal,"junior roto artist: NetFX Mumbai (1 episode, 2022)",
Alexandre Savard-Boisvert,"digital compositor (1 episode, 2022)",
Rebecca Schmidt,"visual effects coordinator (1 episode, 2022)",
Mark Schreiber,"animator (1 episode, 2022)",
